,Billing / Payment,Cancellation / Switching / Retention,Customer Service Issue,Device / Technical Issue,General Complaint / Other,Network / Connectivity,Order / Upgrade / iPhone,Website / App Issue
Billing / Payment,11,0,0,1,7,2,3,2
Cancellation / Switching / Retention,0,1,0,2,6,1,0,0
Customer Service Issue,4,3,3,5,5,4,5,3
Device / Technical Issue,1,0,2,0,3,3,4,0
General Complaint / Other,4,3,3,1,15,2,1,2
Network / Connectivity,10,4,4,4,10,12,10,1
Order / Upgrade / iPhone,1,2,2,1,6,7,2,2
Website / App Issue,0,3,0,0,3,1,2,1
