,Billing / Payment,Cancellation / Switching / Retention,Customer Service Issue,Device / Technical Issue,General Complaint / Other,Network / Connectivity,Order / Upgrade / iPhone,Website / App Issue
Billing / Payment,12,0,0,0,8,2,3,1
Cancellation / Switching / Retention,1,2,0,2,6,2,0,0
Customer Service Issue,4,4,3,3,6,5,2,2
Device / Technical Issue,0,1,1,4,4,3,2,0
General Complaint / Other,1,4,3,0,16,2,1,1
Network / Connectivity,9,6,4,7,9,13,4,1
Order / Upgrade / iPhone,3,0,3,0,4,4,7,3
Website / App Issue,1,3,0,0,3,1,1,3
